ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1171327209,2026-01-26T18:01:42.888000,2026-01-26T18:14:07.291000,buy,0.05,0.05,XAUUSDm,5102.43,5076.816,,,0,0,-128.07,-0.03,,so
1171313585,2026-01-26T17:52:42.372000,2026-01-26T18:01:27.767000,buy,0.05,0.05,XAUUSDm,5100.009,5101.299,5095,,0,0,6.45,,,user
1171311061,2026-01-26T17:51:33.440000,2026-01-26T18:01:27.767000,buy,0.05,0.05,XAUUSDm,5102.005,5101.299,5095,,0,0,-3.53,,,user
1171306681,2026-01-26T17:48:40.640000,2026-01-26T18:01:27.767000,buy,0.05,0.05,XAUUSDm,5102.404,5101.299,5095,,0,0,-5.52,,,user
1171299607,2026-01-26T17:45:56.512000,2026-01-26T17:48:30.189000,buy,0.05,0.05,XAUUSDm,5104.511,5102.427,,,0,0,-10.42,,,user
1171295862,2026-01-26T17:44:26.660000,2026-01-26T17:48:30.163000,buy,0.05,0.05,XAUUSDm,5101.359,5102.427,,,0,0,5.34,,,user
1171293662,2026-01-26T17:43:08.977000,2026-01-26T17:48:29.920000,buy,0.05,0.05,XAUUSDm,5101.21,5102.53,,,0,0,6.6,,,user
1171296500,2026-01-26T17:44:42.429000,2026-01-26T17:48:29.853000,buy,0.05,0.05,XAUUSDm,5102.37,5102.53,,,0,0,0.8,,,user
1171289668,2026-01-26T17:41:36.160000,2026-01-26T17:43:04.285000,sell,0.05,0.05,XAUUSDm,5095.297,5100.981,,,0,0,-28.42,,,user
1171290629,2026-01-26T17:42:18.765000,2026-01-26T17:43:04.277000,sell,0.05,0.05,XAUUSDm,5096.27,5100.908,,,0,0,-23.19,,,user
1171290198,2026-01-26T17:41:58.904000,2026-01-26T17:43:04.102000,sell,0.05,0.05,XAUUSDm,5096.508,5100.743,,,0,0,-21.18,,,user
1171277282,2026-01-26T17:34:21.559000,2026-01-26T17:36:03.030000,sell,0.05,0.05,XAUUSDm,5092.539,5089.888,,,0,0,13.26,,,user
1171253548,2026-01-26T17:24:31.376000,2026-01-26T17:29:41.595000,buy,0.05,0.05,XAUUSDm,5086.372,5089.53,,,0,0,15.79,,,user
1171249225,2026-01-26T17:22:35.269000,2026-01-26T17:29:41.595000,buy,0.05,0.05,XAUUSDm,5090.329,5089.53,,,0,0,-4,,,user
1171247939,2026-01-26T17:21:54.964000,2026-01-26T17:29:41.594000,buy,0.05,0.05,XAUUSDm,5089.633,5089.53,,,0,0,-0.52,,,user
1171244345,2026-01-26T17:20:36.051000,2026-01-26T17:29:41.594000,buy,0.05,0.05,XAUUSDm,5093.53,5089.53,,,0,0,-20,,,user
